year,title,bechdel_score,pass_bechdel,budget_2013,domgross_2013,intgross_2013,decade,imdb_id,language,metascore,imdb_rating,award_winner,runtime,profit,ROI,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
2013,21 & Over,Don't talk to each other,FALSE,13000000,25682380,42195766,2010 - present,1711425,NA,NA,NA,NA,NA,29195766,2.245828153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Dredd 3D,Passes Bechdel,TRUE,45658735,13611086,41467257,2010 - present,1343727,NA,NA,NA,NA,NA,-4191478,-0.09180013419119036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,12 Years a Slave,Don't talk to each other,FALSE,20000000,53107035,158607035,2010 - present,2024544,English,97,8.3,TRUE,134,138607035,6.93035175,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,2 Guns,Don't talk to each other,FALSE,61000000,75612460,132493015,2010 - present,1272878,"English, Spanish",55,6.8,FALSE,109,71493015,1.1720166393442624,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,42,Only talk about men,FALSE,40000000,95020213,95020213,2010 - present,0453562,English,62,7.6,FALSE,128,55020213,1.375505325,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,47 Ronin,Only talk about men,FALSE,225000000,38362475,145803842,2010 - present,1335975,"English, Japanese",29,6.6,FALSE,118,-79196158,-0.35198292444444446,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,A Good Day to Die Hard,Don't talk to each other,FALSE,92000000,67349198,304249198,2010 - present,1606378,"English, Russian, Hindi",28,5.4,FALSE,98,212249198,2.3070565,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,About Time,Passes Bechdel,TRUE,12000000,15323921,87324746,2010 - present,2194499,English,55,7.8,FALSE,123,75324746,6.277062166666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Admission,Passes Bechdel,TRUE,13000000,18007317,18007317,2010 - present,1814621,English,48,5.7,FALSE,107,5007317,0.38517823076923074,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,After Earth,Don't talk to each other,FALSE,130000000,60522097,244373198,2010 - present,1815862,English,33,5,FALSE,100,114373198,0.8797938307692308,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,American Hustle,Passes Bechdel,TRUE,40000000,148430908,249484909,2010 - present,1800241,"English, Arabic",90,7.5,FALSE,138,209484909,5.237122725,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,August: Osage County,Passes Bechdel,TRUE,25000000,37304874,50304874,2010 - present,1322269,English,58,7.4,FALSE,121,25304874,1.01219496,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Beautiful Creatures,Passes Bechdel,TRUE,50000000,19452138,55940671,2010 - present,1559547,English,52,6.2,FALSE,124,5940671,0.11881342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Blue Jasmine,Passes Bechdel,TRUE,18000000,33345833,68447831,2010 - present,2334873,English,78,7.4,TRUE,98,50447831,2.8026572777777776,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Captain Phillips,Don't talk to each other,FALSE,55000000,107136417,218743570,2010 - present,1535109,"English, Somali",83,8,FALSE,134,163743570,2.977155818181818,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Carrie,Passes Bechdel,TRUE,30000000,35266619,85001659,2010 - present,1939659,English,53,6,FALSE,100,55001659,1.8333886333333334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Cloudy with a Chance of Meatballs 2,Less than 2 women,FALSE,78000000,119640264,271725448,2010 - present,1985966,English,59,6.5,FALSE,95,193725448,2.48365958974359,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Despicable Me 2,Passes Bechdel,TRUE,76000000,368065385,970766005,2010 - present,1690953,English,62,7.6,FALSE,98,894766005,11.773236907894736,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Don Jon,Dubious,FALSE,5500000,24477704,26377704,2010 - present,2229499,English,66,6.8,FALSE,90,20877704,3.7959461818181817,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Elysium,Passes Bechdel,TRUE,120000000,93050117,286192091,2010 - present,1535108,"English, Spanish, French, Afrikaans",61,6.7,FALSE,109,166192091,1.3849340916666666,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Ender's Game,Only talk about men,FALSE,110000000,61737191,89737191,2010 - present,1731141,NA,NA,NA,NA,NA,-20262809,-0.18420735454545453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Epic,Passes Bechdel,TRUE,100000000,107518682,268418682,2010 - present,0848537,English,52,6.7,FALSE,102,168418682,1.68418682,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Escape from Planet Earth,Passes Bechdel,TRUE,40000000,57012977,66454811,2010 - present,0765446,English,35,5.9,FALSE,89,26454811,0.661370275,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Escape Plan,Only talk about men,FALSE,70000000,25213103,103813103,2010 - present,1211956,"English, German, Arabic, Urdu",49,6.8,FALSE,115,33813103,0.4830443285714286,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Evil Dead,Passes Bechdel,TRUE,17000000,54239856,97402049,2010 - present,1288558,English,57,6.5,FALSE,91,80402049,4.729532294117647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Fast and Furious 6,Passes Bechdel,TRUE,160000000,238679850,788128122,2010 - present,1905041,NA,NA,NA,NA,NA,628128122,3.9258007625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
